hypothesis_component,verdict,evidence,confidence
Overall H1: the match behaved like a fun/charity match,Partially supported,Lower selection priority and exhibition-like openness are supported; broad coasting and no defending are contradicted.,Moderate
Lower team-level stakes,Supported,Both teams changed seven of eleven semi-final starters.,High
Players broadly reduced physical/defensive effort,Not supported,High-intensity distance and direct pressures rose; player tests are exploratory and Holm-adjusted p-values exceed 0.05.,Moderate
Collective defensive control weakened,Supported,Pressure-to-turnover yield and opponent chance quality were unusually poor.,Moderate-high
Contact intensity was broadly lower,Not supported,"Twenty-two fouls were normal and tackles attempted, blocks, pressure attempts, and high-intensity distance were elevated.",Moderate-high
Disciplinary intensity was lower,Suggestive,The match was cardless despite normal foul volume; knockout empirical tails are about 0.065–0.087 and referee/foul-band sensitivities are weaker.,Low-moderate
H3: spectacle-first behavioural tendency,Supported,"Visible activity remained high while attacking output peaked and collective defensive conversion, clearances, duel control, and card consequence fell.",Moderate-high
H2: individual rewards affected selection and attacking involvement,Supported as an incentive/opportunity mechanism; player attribution remains suggestive,"Mbappe and Olise were selectively retained, highly involved, and materially changed award standings; small within-player samples and unobserved motive limit attribution.",Moderate
H2 stronger claim: the match was primarily used to farm statistics,Not established,"Award totals changed, but the evidence cannot distinguish intentional stat-seeking from normal attacking opportunity or private motive.",Low
The match was equivalent to a charity match,Not established,"The scoring was charity-like descriptively, but roster quality, incentives, and rules are not comparable.",Low
